generated_question_id,template_id,rule_id,parent_rule_id,question_text,layer_id,figure_id,figure_path,ground_truth_answer
0,32.0,,1.0,"Is the following regulation ambiguous? A regulation is ambiguous if it involves unclear language, missing parameters, expert-dependent interpretation, or cannot be directly mapped to design. Ambiguity occurs when a statement has more than one meaning.

Rule:
The required capacity of each door opening shall be sufficient for the occupant load thereof and shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",2_3,,,yes
1,32.0,,2.0,"Is the following regulation ambiguous? A regulation is ambiguous if it involves unclear language, missing parameters, expert-dependent interpretation, or cannot be directly mapped to design. Ambiguity occurs when a statement has more than one meaning.

Rule:
The following activities take place in a semi-ambulant WC (see Figure 88): use of the toilet; disposal of sanitary towels (optional); hand-rinsing. 

Emerald (Greenish) Zone: Semi-ambulant Toilet Activity Space represents the required clearance for approaching and using the semi-ambulant toilet. 
Low-Level Space: A clear space of 600 mm (height, width and depth) is required in front of the toilet pan at a low level to allow for user positioning. Overall Width: The entire activity zone for the toilet should have a width of 800 mm and 600 depth on the upper level. 

Purple (Pinkish) zone corresponds to the activity space for using the ambulant/semi-ambulant hand-rinse basin, with distinct requirements at different heights:
Low-Level Space: At a low level, a clear space with a width of 800 mm(depth and height 600) is required for a user to approach and stand at the basin.
Higher-Level Space: For the upper body, a wider space of 1000 mm (depth 800mm and height 1200 (human 1805-600 at low level) is required to accommodate arm movements during washing and drying.

Answer ""yes"" or ""no"".",2_3,1.0,Figure88.jpg,yes
2,32.0,,3.0,"Is the following regulation ambiguous? A regulation is ambiguous if it involves unclear language, missing parameters, expert-dependent interpretation, or cannot be directly mapped to design. Ambiguity occurs when a statement has more than one meaning.

Rule:
In the trolley access shower, the shower hose should be long enough to allow staff to shower the full length of the patient from either side with a trigger handle.

 The shower rooms are assumed to be wet rooms. The slope of the floor and location of the floor gully should ensure that water does not escape into the adjoining bedroom.The drainpipe at the foot of the shower trolley should be positioned over the toilet in the wet area to deal with incontinence episodes during showering.

Answer ""yes"" or ""no"".",2_3,4.0,Figure67.jpg,yes
3,32.0,,4.0,"Is the following regulation ambiguous? A regulation is ambiguous if it involves unclear language, missing parameters, expert-dependent interpretation, or cannot be directly mapped to design. Ambiguity occurs when a statement has more than one meaning.

Rule:
The room layout includes an adjustable tip-up shower seat. This is to allow for both non-assisted and assisted showering. The position of the shower seat should be adjusted between uses as required.

Answer ""yes"" or ""no"".",2_3,5.0,Figure53.jpg,no
4,32.0,,5.0,"Is the following regulation ambiguous? A regulation is ambiguous if it involves unclear language, missing parameters, expert-dependent interpretation, or cannot be directly mapped to design. Ambiguity occurs when a statement has more than one meaning.

Rule:
Hand-rinse or personal washing facilities should be provided either within the associated WCs or immediately outside them, accessible from the changing area.

Answer ""yes"" or ""no"".",2_3,,,no
5,32.0,,6.0,"Is the following regulation ambiguous? A regulation is ambiguous if it involves unclear language, missing parameters, expert-dependent interpretation, or cannot be directly mapped to design. Ambiguity occurs when a statement has more than one meaning.

Rule:
A safe and secure childrenÕs play area should be provided off all main waiting areas.

Answer ""yes"" or ""no"".",2_3,,,yes
6,32.0,,7.0,"Is the following regulation ambiguous? A regulation is ambiguous if it involves unclear language, missing parameters, expert-dependent interpretation, or cannot be directly mapped to design. Ambiguity occurs when a statement has more than one meaning.

Rule:
The position of the grabrails and fixtures should not conflict with the height-adjustment mechanism of the basin

Answer ""yes"" or ""no"".",2_3,,,no
7,32.0,,8.0,"Is the following regulation ambiguous? A regulation is ambiguous if it involves unclear language, missing parameters, expert-dependent interpretation, or cannot be directly mapped to design. Ambiguity occurs when a statement has more than one meaning.

Rule:
There should be a number of touchdown bases throughout the ward, which may be located in a variety of ways:
¥ a dedicated touchdown base immediately outside each bedroom; or
¥ a touchdown base shared between a pair of bedrooms; or
¥ a touchdown base serving a small cluster of bedrooms.

Touchdown base: a workstation located close to patients but not within single rooms or multi-bed rooms. This is where EPRs can be accessed and updated. The touchdown base is at standing height with a perching stool.

Answer ""yes"" or ""no"".",2_3,3.0,Figure3.jpg,yes
8,32.0,,9.0,"Is the following regulation ambiguous? A regulation is ambiguous if it involves unclear language, missing parameters, expert-dependent interpretation, or cannot be directly mapped to design. Ambiguity occurs when a statement has more than one meaning.

Rule:
If patients are to stay in an isolation room, it is important that they are able to see staff from their beds. This reduces the psychological problems of isolation. Staff should also be able to see the patient in case of emergency. Observation windows should have integral privacy blinds or electrochromic glass that can be controlled by both staff and patients. Non-intrusive monitoring of the patient may be achieved by an infrared camera linked to a monitor at the nurse station (but note that the camera does not provide an opportunity for the patient to see staff).

Answer ""yes"" or ""no"".",2_3,,,yes
9,33.0,,1.0,"Is the following regulation ambiguous?

Rule:
The required capacity of each door opening shall be sufficient for the occupant load thereof and shall provide a minimum clear opening width of 32 inches (813 mm). The clear opening width of doorways with swinging doors shall be measured between the face of the door and the stop, with the door open 90 degrees (1.57 rad). Where this section requires a minimum clear opening width of 32 inches (813 mm) and a door opening includes two door leaves without a mullion, one leaf shall provide a minimum clear opening width of 32 inches (813 mm).

Answer ""yes"" or ""no"".",2_3,,,yes
10,33.0,,2.0,"Is the following regulation ambiguous?

Rule:
The following activities take place in a semi-ambulant WC (see Figure 88): use of the toilet; disposal of sanitary towels (optional); hand-rinsing. 

Emerald (Greenish) Zone: Semi-ambulant Toilet Activity Space represents the required clearance for approaching and using the semi-ambulant toilet. 
Low-Level Space: A clear space of 600 mm (height, width and depth) is required in front of the toilet pan at a low level to allow for user positioning. Overall Width: The entire activity zone for the toilet should have a width of 800 mm and 600 depth on the upper level. 

Purple (Pinkish) zone corresponds to the activity space for using the ambulant/semi-ambulant hand-rinse basin, with distinct requirements at different heights:
Low-Level Space: At a low level, a clear space with a width of 800 mm(depth and height 600) is required for a user to approach and stand at the basin.
Higher-Level Space: For the upper body, a wider space of 1000 mm (depth 800mm and height 1200 (human 1805-600 at low level) is required to accommodate arm movements during washing and drying.

Answer ""yes"" or ""no"".",2_3,1.0,Figure88.jpg,yes
11,33.0,,3.0,"Is the following regulation ambiguous?

Rule:
In the trolley access shower, the shower hose should be long enough to allow staff to shower the full length of the patient from either side with a trigger handle.

 The shower rooms are assumed to be wet rooms. The slope of the floor and location of the floor gully should ensure that water does not escape into the adjoining bedroom.The drainpipe at the foot of the shower trolley should be positioned over the toilet in the wet area to deal with incontinence episodes during showering.

Answer ""yes"" or ""no"".",2_3,4.0,Figure67.jpg,yes
