generated_question_id,scene_id,file_path,template_id,question_text,rule_id,parent_rule_id,rule_figure_id,figure_path,correct_answer
1,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The semi-ambulant WC must be designed to accommodate following activities: use of the toilet; disposal of sanitary towels (optional); hand-rinsing.

Answer ""yes"" or ""no"".",5.0,,1.0,Figure88.jpg,yes
2,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The ""Emerald (Greenish) Zone"" is defined as the required clear activity space for approaching and using the semi-ambulant toilet. Darker shade shows low-level area. A clear space of 600 mm in height, 600 mm in width, and 600 mm in depth must be provided at a low level directly in front of the toilet pan.

Answer ""yes"" or ""no"".",6.0,,1.0,Figure88.jpg,yes
3,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The ""Emerald (Greenish) Zone"" is defined as the required clear activity space for approaching and using the semi-ambulant toilet. Lighter shade show a zone in the upper level. The overall toilet activity zone at the upper level must have a width of 800 mm and a depth of 600 mm.

Answer ""yes"" or ""no"".",7.0,,1.0,Figure88.jpg,yes
4,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The ""Purple (Pinkish) Zone"" is defined as the activity space required for using the hand-rinse basin. Darker shade shows low-level area. For user approach, a clear space must be provided at a low level with a width of 800 mm, a depth of 600 mm, and a height of 600 mm.

Answer ""yes"" or ""no"".",8.0,,1.0,Figure88.jpg,yes
5,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The ""Purple (Pinkish) Zone"" is defined as the activity space required for using the hand-rinse basin. Lighter shade show a zone in the upper level. To accommodate upper body and arm movements, a clear space must be provided at a higher level with a width of 1000 mm, a depth of 800 mm, and a height of 1200 mm.

Answer ""yes"" or ""no"".",9.0,,1.0,Figure88.jpg,yes
6,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
In a semi-ambulant WC must be a free area with a width of ³ 900 mm in the center of the room, intended for moving with a cane/frame.

Answer ""yes"" or ""no"".",10.0,,1.0,Figure88.jpg,yes
7,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
A toilet seat in a semi-ambulant WC must be equipped with horizontal handrails on both sides and vertical handrails on one side and on the wall behind the toilet.

Answer ""yes"" or ""no"".",11.0,,1.0,Figure88.jpg,yes
8,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
On the side wall closest to the toilet seat and perpendicular to the wall behind the toilet  in a semi-ambulant WC should be installed a toilet paper holder next to the toilet seat.

Answer ""yes"" or ""no"".",12.0,,1.0,Figure88.jpg,yes
9,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
In a semi-ambulant WC must be a free area with a width of ³ 900 mm in the center of the room, intended for moving with a cane/frame. When using a large toilet holder in a semi-ambulant WC, it can protrude into the activity area.

Answer ""yes"" or ""no"".",13.0,,1.0,Figure88.jpg,no
10,1,1 a plan view of a semi-abudant WC room.jpg,39,"Do you think this scene contains sufficient information to perform compliance checking based on the following rule? 

Rule:
The entrance area in the semi-ambulant WC should provide a coat hook.

Answer ""yes"" or ""no"".",14.0,,,,yes
