generated_question_id,scene_id,file_path,template_id,layer_id,question_text,ground_truth_answer
0,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is guest bedroom directly connected to the child bedroom? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
1,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is living room directly connected to the child bedroom? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
2,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is wc directly connected to the child bedroom? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
3,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is public zone directly connected to the child bedroom? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
4,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is child bedroom directly connected to the wc? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
5,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is guest bedroom directly connected to the wc? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
6,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is living room directly connected to the wc? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
7,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is public zone directly connected to the wc? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
8,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is child bedroom directly connected to the guest bedroom? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
9,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is living room directly connected to the guest bedroom? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
10,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is wc directly connected to the guest bedroom? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
11,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is public zone directly connected to the guest bedroom? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
12,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is child bedroom directly connected to the living room? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
13,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is guest bedroom directly connected to the living room? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
14,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is kitchen directly connected to the living room? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
15,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is guest wc directly connected to the living room? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
16,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is entrance area directly connected to the living room? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
17,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is living room directly connected to the guest wc? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
18,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is kitchen directly connected to the guest wc? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
19,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is corridor directly connected to the guest wc? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
20,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is entrance area directly connected to the guest wc? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
21,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is private zone directly connected to the guest wc? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
22,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is living room directly connected to the kitchen? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
23,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is guestwc directly connected to the kitchen? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
24,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is entrance area directly connected to the kitchen? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
25,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is corridor directly connected to the kitchen? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
26,3,3 double flat.jpg,14,1_2_1,"Look at the attached image.
Is private zone directly connected to the kitchen? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
27,22,22 Cutout 9 - Compositional view.jpg,14,1_2_1,"Look at the attached image.
Is corridor 2ac2 directly connected to the stair 2as1? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
28,22,22 Cutout 9 - Compositional view.jpg,14,1_2_1,"Look at the attached image.
Is dental waiting 1d44 directly connected to the stair 2as1? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
29,22,22 Cutout 9 - Compositional view.jpg,14,1_2_1,"Look at the attached image.
Is corridor 2ac1 directly connected to the stair 2as1? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
30,22,22 Cutout 9 - Compositional view.jpg,14,1_2_1,"Look at the attached image.
Is corridor 2cc4 directly connected to the hk 2c11? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
31,22,22 Cutout 9 - Compositional view.jpg,14,1_2_1,"Look at the attached image.
Is corridor 2cc3 directly connected to the hk 2c11? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
32,22,22 Cutout 9 - Compositional view.jpg,14,1_2_1,"Look at the attached image.
Is corridor 2cc1 directly connected to the hk 2c11? For this task, ""direct connectivity"" means that the two elements are reachable from one another either directly or through at most one intermediate node.

Answer ""yes"" or ""no"".",yes
