cutout_id;scene_id;rule_id;template_id;file_path;caption;not compliant;not sufficient;object_type;feature_name;location_context;space_naming;material;text;multi-view_dimensions;spatial relations;camera_json (optional);Unnamed: 17
1;1;5,6,7,8,9,10,11,12,13,14,15,16,17,47,48;1, 2, 8, 9,10,12,39, 40, 41, 42,43, 44,45,46;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\1 a plan view of a semi-abudant WC room.jpg;a plan view of a semi-ambulant  WC room;12, 14, 15, 16;13,42,43,44;handrails, toilet, sink, door, wall, paper towel dispenser, service duct, sanitary fixture, grabrail;{toilet: tank, set, lid, rim};semi-ambulant  WC room;;;"label with a leader/room tag={room name:TOILET, room label:1D26}, door={dimension:975}, the distance between the edge of the sink and a wall opposite to it = {dimension:1181}, the distance between the toilet and the edge of the open door = {dimension:974}, text={""Cutout 1""},  text={""1""}";;cluster of rooms;;
1;2;5,6,7,8,9,10,11,12,13,14,15,16,17,;1, 2, 5, 8, 9,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\2 a plan view of a semi-abudant WC room.jpg;a plan view of a drawing. It represents a semi-ambulant  WC room in night mode interface. There is a paper towel dispenser highlighted.;12, 14, 15, 16;6,7,8,9,10,13,42,43,44;handrails, toilet, sink, door, wall, highlighted:paper towel dispenser, service duct, sanitary fixture, grabrail;{toilet: tank, set, lid, rim}, {sink:drain hole};semi-ambulant WC room;adjacency and connectivity functional grouping cluster of rooms;color={paper towel dispenser:turquoise};label with a leader/room tag={room name:TOILET, room label:1D26}, door={dimension:975};;;;
2;3;;1,2,4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\3 double flat.jpg;a plan view of a drawing. It shows the first floor of a two-story apartment. The layout clearly shows the zoning that separates private spaces (bedroom) and public spaces for hosting guests and hanging out together.;;;toilet, sink, door, wall, staircase, service duct, sanitary fixture, strove, double bed, single bed, bedside table, coffee table, dining table, plates, knife, fork, chair, wardrobe, armchair, plant, humans, reading human, human having a drink, woman, man, glazed curtain wall, doorless portal;{toilet: tank}, {single bed:pillow, blanket, headboard}, {double bed:pillow, headboard}, {armchair: backrest}, {sink:tap, drain hole}, {strove:strove burner}, {plant:leaves, pot}, {stair:stringer,tread};two-story apartment, two-story flat;"functional grouping={private zone:child bedroom, WC, Guest bedroom;public zone: living room, Guest WC, Living room;entrance zone: two corridor spaces}, direct_connectivity={
child bedroom:guest bedroom,living room,WC,public zone; WC:child bedroom,guest bedroom,living room,public zone; guest bedroom:child bedroom,living room,WC,public zone; living room:child bedroom,guest bedroom,kitchen,guest WC, entrance area; guest WC: living room, kitchen, corridor, entrance area, private zone; kitchen: living room, guestWC, entrance area, corridor, private zone}
adjacency={ child bedroom,guest bedroom, WC, corridor; WC,child bedroom,guest WC, corridor, service duct;guest bedroom,corridor, child bedroom, public zone; guest WC,living room,WC, entrance area;
living room,guest bedroom,entrance area, kitchen,guest WC,private zone; kitchen,living room; private zone,public zone; public zone,private zone} not_direct_connectivity={
child bedroom:guest WC,kitchen, entrance area;
WC:guest WC,entrance area,kitchen;
guest bedroom:guest WC,kitchen,entrance area;
guest WC:child bedroom,guest bedroom,WC;
kitchen:child bedroom,WC,guest bedroom;}";texture={pillow in child bedroom:soft}, material={floor in WC: tiles, floor in child bedroom: parquet/ laminate, floor in quest bedroom: parquet/ laminate};room tag={room name:Child bedroom, room area:14 m?},room tag={room name:Guest bedroom, room area:24 m?},label with a leader/room tag={room name:Guest WC, room area:2 m?},room tag={room name:WC, room area:5 m?},room tag={room name:Living room, room area:51 m?},room tag={room name:Kitchen, room area:5 m?};;"adjacency={toilet,sink,wall,bath; door,wall;doorless portal,wall; staircase,wall,dining table,glazed curtain wall,door,living room,guest bedroom; bath,toilet,sink,wall; stove,wall, sink; double bed,wall,bedside table,bedside table,guest bedroom, wardrobe; single bed,bedside tablewall,wardrobe,child bedroom; bedside table,double bed,wall, floor; coffee table,armchair,chair,living room; dining table,chair,cabinet,staircase, plates, forks, knifes,living room; plates,dining table,fork,knife; knife,plates,fork,dining table; fork,plates,knife,dining table; chair,dining table;armchair,coffee table,living room; wardrobe,single bed,wall,child bedroom; armchair,coffee table,chair,woman,man,living room; plant,living room,woman; humans,living room,armchair,coffee table; reading human,armchair,coffee table; human having a drink,armchair,coffee table; man,armchair,woman,living room; glazed curtain wall,wall,living room; doorless portal,wall,door,living room } functional grouping={lounge area:armchairs,coffee table,plant,reading human,human having a drink,woman,man; dining area:dining table,chairs,plates,knifes,forks; entrance zone: two doors, doorless portal, wardrobe}";;
2;4;;1,2,3, 4,5,6,7,8,10,11,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\4 double flat.jpg;a plan view of a drawing. It shows the first floor of a two-story apartment. The layout clearly shows the zoning that separates private spaces (bedroom) and public spaces for hosting guests and hanging out together. There are elements in child bedroom highlighted.;;;toilet, sink, highlighted:door, door,  highlighted:wall, wall, staircase, service duct, sanitary fixture, strove, double bed,  highlighted:single bed, highlighted:bedside table, bedside table, coffee table, dining table, plates, knife, fork, chair,  highlighted:single bed, highlighted:wardrobe, wardrobe, armchair, plant, humans, reading human, human having a drink, woman, man, highlighted:glazed curtain wall, glazed curtain wall, doorless portal;{toilet: tank}, {single bed:pillow, blanket, headboard}, {double bed:pillow, headboard}, {armchair: backrest}, {sink:tap, drain hole}, {strove:strove burner}, {plant:leaves, pot}, {stair:stringer,tread};two-story apartment, two-story flat;;texture={pillow on a single bed:soft}, material={floor in WC: tiles, floor in child bedroom: parquet/ laminate, floor in quest bedroom: parquet/ laminate}, color={child bedroom objects:blue};highlighted:room tag={room name:Child bedroom, room area:14 m?},room tag={room name:Guest bedroom, room area:24 m?},label with a leader/room tag={room name:Guest WC, room area:2 m?},room tag={room name:WC, room area:5 m?},room tag={room name:Living room, room area:51 m?},room tag={room name:Kitchen, room area:5 m?};;;;
3;5;;1,2, 4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\5 Living_house - Facade fragment.jpg;a drawing of a facade fragment. It includes a fragment of an elevation and a section or detail view. Elevation shows several windows and wall fragments with finish. Detail view shows a section in the balcony/loggia area.;;;wall, window, curtain wall, floor slabs, wall, insulation, floor finish, wall finish, horizontal bands, facade flashing;{elevation:wall, window, curtain wall, facade flashing}, {section:floor slabs, wall, structural wall, insulation, window/curtain wall, floor finish, wall finish, horizontal bands}, {horizontal bands:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill}, {curtain wall: frames, mullions, panels};multi-story residential building;;"texture={curtain wall panels:glossy, insulation:Diagonal hatching/dense angled lines}, material={floor slabs: reinforced concrete, facade flashing:ceramic tiles/	
Sheet metal/aluminum/galvanized steel, insulation:mineral wool, structural wall:reinforced concrete,curtain wall panels:glass, window:glass,  leveling screed:cement-sand screed}, color={facade panel:green/olive}";label with a leader/layer tag={facade flashing:ventilated facade panels, ventilation layer:air, load-bearing structure:[reinforced concrete structure, 250 mm]}, elevation={dimension:200};;;;
3;6;;1,2, 4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\6 Living_house - Facade fragment.jpg;a drawing of a facade fragment. It includes a fragment of an elevation and a section or detail view. Elevation shows several windows and wall fragments with finish. Detail view shows a section in the balcony/loggia area.;;;wall, window, curtain wall, floor slabs, wall, insulation, floor finish, wall finish, horizontal bands, facade flashing;{elevation:wall, window, curtain wall, facade flashing}, {section:floor slabs, wall, structural wall, insulation, window/curtain wall, floor finish, wall finish, horizontal bands}, {horizontal bands:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill}, {curtain wall: frames, mullions, panels}, {plan view:window, curtain wall, facade system, floor finish layers},{ facade system:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill};multi-story residential building;;"texture={curtain wall panels:glossy, insulation:Diagonal hatching/dense angled lines}, material={floor slabs: reinforced concrete, facade flashing:ceramic tiles/	
sheet metal/aluminum/galvanized steel, insulation:mineral wool, structural wall:reinforced concrete,curtain wall panels:glass, transparent window infill:glass, load-bearing structure:reinforced concrete slab, hydroisolation: 2 layers of polyethylene film/rubberized felt waterproofing, leveling screed:cement-sand screed, bonding layer:tile adhesive, floor finish:ceramic tile} color={facade panel:green/olive}";label with a leader/layer tag={load-bearing structure:[reinforced concrete slab, 200 mm], hydroinsulation: 2 layers of polyethylene film, leveling screed:[cement-sand screed, 20 mm], hydroinsulation:[rubberized felt waterproofing, 20 mm],  leveling screed:[cement-sand screed, 20 mm], bonding layer:bonding layer of tile adhesive, floor finish:[ceramic tile, 10 mm]};;;;"transparent window infill option_pool_allowed äëÿ ýòîé êàòåãîðèè:

allowed: glass, tempered glass, laminated glass, double glazing, polycarbonate
forbidden: wood, oak, pine, vinyl, PVC, aluminum"
3;7;;1,2, 4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\7 Living_house - Facade fragment.jpg;a drawing of a facade fragment. It includes a fragment of an elevation and a section or detail view. Elevation shows several windows and wall fragments with finish. Detail view shows a section in the balcony/loggia area.;;;wall, window, curtain wall, floor slabs, wall, insulation, floor finish, wall finish, horizontal bands, facade flashing;{elevation:wall, window, curtain wall, facade flashing}, {section:floor slabs, wall, structural wall, insulation, window/curtain wall, floor finish, wall finish, horizontal bands}, {horizontal bands:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill}, {curtain wall: frames, mullions, panels};multi-story residential building;;"texture={curtain wall panels:glossy, insulation:Diagonal hatching/dense angled lines}, material={floor slabs: reinforced concrete, facade flashing:ceramic tiles/	
Sheet metal/aluminum/galvanized steel, insulation:mineral wool, structural wall:reinforced concrete,curtain wall panels:glass, window:glass,  leveling screed:cement-sand screed}, color={facade panel:green/olive}";label with a leader/layer tag={wall finish:mesh-reinforced plaster, thermal insulation:insulation, non-structural partition:[Foam concrete block wall, 400 mm], wall finish:mesh-reinforced plaster};;;;
3;8;;1,2, 4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\8 Living_house - Facade fragment.jpg;a drawing of a facade fragment. It includes a fragment of an elevation and a section or detail view. Elevation shows several windows and wall fragments with finish. Detail view shows a section in the balcony/loggia area.;;;wall, window, curtain wall, floor slabs, wall, insulation, floor finish, wall finish, horizontal bands, facade flashing;{elevation:wall, window, curtain wall, facade flashing}, {section:floor slabs, wall, structural wall, insulation, window/curtain wall, floor finish, wall finish, horizontal bands}, {horizontal bands:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill}, {curtain wall: frames, mullions, panels};multi-story residential building;;"texture={curtain wall panels:glossy, insulation:Diagonal hatching/dense angled lines}, material={floor slabs: reinforced concrete, facade flashing:ceramic tiles/	
Sheet metal/aluminum/galvanized steel, insulation:mineral wool, structural wall:reinforced concrete,curtain wall panels:glass, window:glass,  leveling screed:cement-sand screed}, color={facade panel:green/olive}";label with a leader/layer tag={load-bearing structure:[reinforced concrete slab, 300 mm], hydroinsulation: [Waterproofing, 20 mm], leveling screed:[cement-sand screed, 20 mm], sound insulation, bonding layer:adhesive compound, floor finish:[laminate flooring, 12 mm]};;;;"äâóõêîìíàòíàÿ êâàðòèðà ? two-room apartment / two-bedroom apartment

òð¸õêîìíàòíàÿ êâàðòèðà ? three-room apartment / three-bedroom apartment"
4;9;1,2,4;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\9 Cutout 4 - Compositional view.jpg;"a drawing with several projections of a building. It features a plan fragment of two connected rooms, each accessible via a separate door. 

There are two sections: a corridor view cross-section (Section 1) and a longitudinal section (Section 2). 

The 3D axonometric view illustrates the spatial arrangement of doors.";4;45,46;;;pediatric rooms in a dental clinic;;;;"double door = { ""leaf width"": { ""value"": 800, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 2"" }, ""leaf depth"":null }, door to pediatric wts&msrs = { ""leaf width"": { ""value"": 940, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 1"" }, ""leaf depth"":null }";;;
4;10;1,2,4;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\10 Cutout 4 - Compositional view.jpg;"a drawing with several projections of a building. It features a plan fragment of two connected rooms, each accessible via a separate door. 

There are two sections: a corridor view cross-section (Section 1) and a longitudinal section (Section 2). 

The 3D axonometric view illustrates the spatial arrangement of doors.";2;45,46;;;pediatric rooms in a dental clinic;;;;"double door = { ""leaf width"": { ""value"": 875, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 2"" }, ""leaf depth"":null }, door to pediatric wts&msrs = { ""leaf width"": { ""value"":762, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 1"" }, ""leaf depth"":null }";;;
