generated_question_id,template_id,layer_id,scene_id,file_path,question_text,ground_truth_answer
0,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a handrails? 
Answer ""yes"" or ""no"".",yes
1,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a toilet? 
Answer ""yes"" or ""no"".",yes
2,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a sink? 
Answer ""yes"" or ""no"".",yes
3,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a door? 
Answer ""yes"" or ""no"".",yes
4,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
5,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a paper towel dispenser? 
Answer ""yes"" or ""no"".",yes
6,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",yes
7,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a sanitary fixture? 
Answer ""yes"" or ""no"".",yes
8,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a grabrail? 
Answer ""yes"" or ""no"".",yes
9,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a curtain wall? 
Answer ""yes"" or ""no"".",no
10,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a horizontal bands? 
Answer ""yes"" or ""no"".",no
11,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",no
12,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a knife? 
Answer ""yes"" or ""no"".",no
13,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a handrails? 
Answer ""yes"" or ""no"".",yes
14,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a toilet? 
Answer ""yes"" or ""no"".",yes
15,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a sink? 
Answer ""yes"" or ""no"".",yes
16,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a door? 
Answer ""yes"" or ""no"".",yes
17,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
18,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a paper towel dispenser? 
Answer ""yes"" or ""no"".",yes
19,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",yes
20,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a sanitary fixture? 
Answer ""yes"" or ""no"".",yes
21,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a grabrail? 
Answer ""yes"" or ""no"".",yes
22,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a strove? 
Answer ""yes"" or ""no"".",no
23,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a man? 
Answer ""yes"" or ""no"".",no
24,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",no
25,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a human having a drink? 
Answer ""yes"" or ""no"".",no
26,1,1_1_1,3,3 double flat.jpg,"Does this view contain a toilet? 
Answer ""yes"" or ""no"".",yes
27,1,1_1_1,3,3 double flat.jpg,"Does this view contain a sink? 
Answer ""yes"" or ""no"".",yes
28,1,1_1_1,3,3 double flat.jpg,"Does this view contain a door? 
Answer ""yes"" or ""no"".",yes
29,1,1_1_1,3,3 double flat.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
30,1,1_1_1,3,3 double flat.jpg,"Does this view contain a staircase? 
Answer ""yes"" or ""no"".",yes
31,1,1_1_1,3,3 double flat.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",yes
32,1,1_1_1,3,3 double flat.jpg,"Does this view contain a sanitary fixture? 
Answer ""yes"" or ""no"".",yes
33,1,1_1_1,3,3 double flat.jpg,"Does this view contain a strove? 
Answer ""yes"" or ""no"".",yes
34,1,1_1_1,3,3 double flat.jpg,"Does this view contain a double bed? 
Answer ""yes"" or ""no"".",yes
35,1,1_1_1,3,3 double flat.jpg,"Does this view contain a single bed? 
Answer ""yes"" or ""no"".",yes
36,1,1_1_1,3,3 double flat.jpg,"Does this view contain a bedside table? 
Answer ""yes"" or ""no"".",yes
37,1,1_1_1,3,3 double flat.jpg,"Does this view contain a coffee table? 
Answer ""yes"" or ""no"".",yes
38,1,1_1_1,3,3 double flat.jpg,"Does this view contain a dining table? 
Answer ""yes"" or ""no"".",yes
39,1,1_1_1,3,3 double flat.jpg,"Does this view contain a plates? 
Answer ""yes"" or ""no"".",yes
40,1,1_1_1,3,3 double flat.jpg,"Does this view contain a knife? 
Answer ""yes"" or ""no"".",yes
41,1,1_1_1,3,3 double flat.jpg,"Does this view contain a fork? 
Answer ""yes"" or ""no"".",yes
42,1,1_1_1,3,3 double flat.jpg,"Does this view contain a chair? 
Answer ""yes"" or ""no"".",yes
43,1,1_1_1,3,3 double flat.jpg,"Does this view contain a wardrobe? 
Answer ""yes"" or ""no"".",yes
44,1,1_1_1,3,3 double flat.jpg,"Does this view contain a armchair? 
Answer ""yes"" or ""no"".",yes
45,1,1_1_1,3,3 double flat.jpg,"Does this view contain a plant? 
Answer ""yes"" or ""no"".",yes
46,1,1_1_1,3,3 double flat.jpg,"Does this view contain a humans? 
Answer ""yes"" or ""no"".",yes
47,1,1_1_1,3,3 double flat.jpg,"Does this view contain a reading human? 
Answer ""yes"" or ""no"".",yes
48,1,1_1_1,3,3 double flat.jpg,"Does this view contain a human having a drink? 
Answer ""yes"" or ""no"".",yes
49,1,1_1_1,3,3 double flat.jpg,"Does this view contain a woman? 
Answer ""yes"" or ""no"".",yes
50,1,1_1_1,3,3 double flat.jpg,"Does this view contain a man? 
Answer ""yes"" or ""no"".",yes
51,1,1_1_1,3,3 double flat.jpg,"Does this view contain a glazed curtain wall? 
Answer ""yes"" or ""no"".",yes
52,1,1_1_1,3,3 double flat.jpg,"Does this view contain a doorless portal? 
Answer ""yes"" or ""no"".",yes
53,1,1_1_1,3,3 double flat.jpg,"Does this view contain a curtain wall? 
Answer ""yes"" or ""no"".",no
54,1,1_1_1,3,3 double flat.jpg,"Does this view contain a facade flashing? 
Answer ""yes"" or ""no"".",no
55,1,1_1_1,3,3 double flat.jpg,"Does this view contain a floor finish? 
Answer ""yes"" or ""no"".",no
56,1,1_1_1,3,3 double flat.jpg,"Does this view contain a floor slabs? 
Answer ""yes"" or ""no"".",no
57,1,1_1_1,3,3 double flat.jpg,"Does this view contain a grabrail? 
Answer ""yes"" or ""no"".",no
58,1,1_1_1,3,3 double flat.jpg,"Does this view contain a handrails? 
Answer ""yes"" or ""no"".",no
59,1,1_1_1,3,3 double flat.jpg,"Does this view contain a horizontal bands? 
Answer ""yes"" or ""no"".",no
60,1,1_1_1,3,3 double flat.jpg,"Does this view contain a insulation? 
Answer ""yes"" or ""no"".",no
61,1,1_1_1,3,3 double flat.jpg,"Does this view contain a paper towel dispenser? 
Answer ""yes"" or ""no"".",no
62,1,1_1_1,3,3 double flat.jpg,"Does this view contain a wall finish? 
Answer ""yes"" or ""no"".",no
63,1,1_1_1,3,3 double flat.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",no
64,1,1_1_1,4,4 double flat.jpg,"Does this view contain a toilet? 
Answer ""yes"" or ""no"".",yes
65,1,1_1_1,4,4 double flat.jpg,"Does this view contain a sink? 
Answer ""yes"" or ""no"".",yes
66,1,1_1_1,4,4 double flat.jpg,"Does this view contain a door? 
Answer ""yes"" or ""no"".",yes
67,1,1_1_1,4,4 double flat.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
68,1,1_1_1,4,4 double flat.jpg,"Does this view contain a staircase? 
Answer ""yes"" or ""no"".",yes
69,1,1_1_1,4,4 double flat.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",yes
70,1,1_1_1,4,4 double flat.jpg,"Does this view contain a sanitary fixture? 
Answer ""yes"" or ""no"".",yes
71,1,1_1_1,4,4 double flat.jpg,"Does this view contain a strove? 
Answer ""yes"" or ""no"".",yes
72,1,1_1_1,4,4 double flat.jpg,"Does this view contain a double bed? 
Answer ""yes"" or ""no"".",yes
73,1,1_1_1,4,4 double flat.jpg,"Does this view contain a single bed? 
Answer ""yes"" or ""no"".",yes
74,1,1_1_1,4,4 double flat.jpg,"Does this view contain a bedside table? 
Answer ""yes"" or ""no"".",yes
75,1,1_1_1,4,4 double flat.jpg,"Does this view contain a coffee table? 
Answer ""yes"" or ""no"".",yes
76,1,1_1_1,4,4 double flat.jpg,"Does this view contain a dining table? 
Answer ""yes"" or ""no"".",yes
77,1,1_1_1,4,4 double flat.jpg,"Does this view contain a plates? 
Answer ""yes"" or ""no"".",yes
78,1,1_1_1,4,4 double flat.jpg,"Does this view contain a knife? 
Answer ""yes"" or ""no"".",yes
79,1,1_1_1,4,4 double flat.jpg,"Does this view contain a fork? 
Answer ""yes"" or ""no"".",yes
80,1,1_1_1,4,4 double flat.jpg,"Does this view contain a chair? 
Answer ""yes"" or ""no"".",yes
81,1,1_1_1,4,4 double flat.jpg,"Does this view contain a wardrobe? 
Answer ""yes"" or ""no"".",yes
82,1,1_1_1,4,4 double flat.jpg,"Does this view contain a armchair? 
Answer ""yes"" or ""no"".",yes
83,1,1_1_1,4,4 double flat.jpg,"Does this view contain a plant? 
Answer ""yes"" or ""no"".",yes
84,1,1_1_1,4,4 double flat.jpg,"Does this view contain a humans? 
Answer ""yes"" or ""no"".",yes
85,1,1_1_1,4,4 double flat.jpg,"Does this view contain a reading human? 
Answer ""yes"" or ""no"".",yes
